row,col0,col1,col2,col3,col4,time
0,2,23,1,31,34,270
1,9,40,48,4,36,
2,8,17,30,16,43,
3,8,2,32,37,26,
4,7,42,7,12,39,
5,15,38,47,23,48,
6,6,16,27,40,1,
7,36,19,21,39,17,
8,15,46,6,38,4,
9,31,23,1,34,2,
10,36,4,48,40,9,
11,43,30,8,17,16,
12,2,26,8,32,37,
13,12,7,42,39,7,
14,23,15,38,47,48,
15,16,40,6,1,27,
16,39,36,21,17,19,
17,38,15,4,6,46,
18,23,34,31,2,1,
19,40,9,48,4,36,
20,16,30,8,43,17,
21,37,8,26,2,32,
22,42,7,12,39,7,
23,48,47,15,23,38,
24,1,27,40,6,16,
25,39,17,21,36,19,
26,46,15,6,38,4,
